3457018,-5.0,217593.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,-300.0,New,NotFound,166.0,15.0,100.0,549.0,,,,,,,,New,NotFound,iOS 11.3.0,mobile safari generic,32.0,1136x640,match_status:1,T,F,F,T,mobile,iOS Device
3457019,-45.0,92001.0,0.0,0.0,0.0,0.0,16.0,-42.0,0.0,0.0,100.0,Found,52.0,-360.0,Found,Found,166.0,,193.0,333.0,228.0,14.0,IP_PROXY:TRANSPARENT,11.0,426.0,119.0,Found,Found,Found,Windows 7,chrome 65.0,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
3457020,-5.0,53461.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,64.0,-300.0,Found,Found,166.0,15.0,100.0,549.0,,,,,,,,Found,Found,iOS 11.3.0,mobile safari generic,32.0,1136x640,match_status:2,T,F,F,T,mobile,iOS Device
3457022,-15.0,,,,,,,,,,,NotFound,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457026,0.0,53522.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,,-300.0,Found,Found,166.0,,215.0,533.0,,,,,,,,Found,Found,Mac OS X 10_10_5,chrome 65.0,24.0,1440x900,match_status:2,T,F,T,T,desktop,MacOS
3457029,-5.0,74588.0,,,2.0,-11.0,,,,,100.0,NotFound,64.0,-300.0,New,NotFound,166.0,12.0,410.0,484.0,,,,,,,,New,NotFound,Mac OS X 10_13_4,safari generic,24.0,5120x2880,match_status:2,T,F,T,F,desktop,MacOS
3457038,-5.0,66515.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,52.0,-300.0,Found,Found,166.0,,542.0,391.0,,,,,,,,Found,Found,Windows 10,edge 16.0,24.0,1366x768,match_status:2,T,F,T,T,desktop,Windows
3457040,0.0,43452.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,,-300.0,Found,Found,166.0,,529.0,256.0,,,,,,,,Found,Found,Mac OS X 10_13_4,safari generic,24.0,1920x1080,match_status:2,T,F,T,T,desktop,MacOS
3457041,0.0,11849.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,,-300.0,Found,Found,166.0,,529.0,256.0,,,,,,,,Found,Found,Mac OS X 10_13_4,safari generic,24.0,1920x1080,match_status:2,T,F,T,T,desktop,MacOS
3457053,-20.0,349001.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,,Unknown,,225.0,,266.0,638.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,F,F,mobile,
3457069,-5.0,152570.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,153.0,563.0,,,,,,,,Found,Found,,chrome 64.0,,,,F,F,T,F,desktop,
3457075,-5.0,225415.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,-480.0,New,NotFound,166.0,,529.0,222.0,,,,,,,,New,NotFound,iOS 11.0.3,mobile safari generic,32.0,2048x1536,match_status:1,T,F,F,F,mobile,iOS Device
3457081,-5.0,375620.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,64.0,-480.0,Found,Found,166.0,,529.0,222.0,,,,,,,,Found,Found,iOS 11.0.3,mobile safari generic,32.0,2048x1536,match_status:1,T,F,F,F,mobile,iOS Device
3457106,-5.0,37956.0,,,16.0,0.0,,,,,100.0,NotFound,52.0,-300.0,New,NotFound,166.0,15.0,481.0,161.0,,,,,,,,New,NotFound,Windows 10,chrome 65.0,24.0,1920x1080,match_status:2,T,F,T,T,desktop,Windows
3457115,-50.0,1179.0,0.0,0.0,,,10.0,-14.0,0.0,0.0,100.0,Found,54.0,-300.0,Found,Found,,,,,576.0,14.0,IP_PROXY:HIDDEN,11.0,505.0,102.0,Found,Found,Found,Android,chrome 65.0,24.0,1280x720,match_status:2,T,F,T,T,mobile,
3457126,0.0,19427.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,,-300.0,Found,Found,166.0,,542.0,181.0,,,,,,,,Found,Found,Mac OS X 10_11_6,chrome 65.0,24.0,1680x1050,match_status:0,T,F,T,T,desktop,MacOS
